"SourcePath","ItemName","ItemType","SizeBytes","LastModified","Classification","Evidence","SHA256","DestinationProposal","ContainsSecrets","Action","Reason"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app-v4-staff-logout-fix-20260803.zip","zamorin-app-v4-staff-logout-fix-20260803.zip","FILE","604003","2026-08-04 00:40:21","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","2192011C77CE2BE7DF571B135DBC2ACF2AA1DE81846FB7FFE09ECC8CF67B69ED","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app.zip","zamorin-app.zip","FILE","58375","2026-07-30 10:34:13","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","9D1EEB2232F4830C5182D83B8EE9BCB6F097AA9071804AED6B96D5951A4D3D41","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app_1.zip","zamorin-app_1.zip","FILE","58375","2026-07-30 10:35:38","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","9D1EEB2232F4830C5182D83B8EE9BCB6F097AA9071804AED6B96D5951A4D3D41","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app_2.zip","zamorin-app_2.zip","FILE","64571","2026-07-30 10:37:14","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","35455697297751A9D20F7664D13066508D7D3799857DA839CB179D2FD09B3BF3","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-attendance-module-v1.zip","zamorin-attendance-module-v1.zip","FILE","256588","2026-08-10 07:50:53","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","16F6EBE1DFC74D20B8F7610C54AF3178F6F19E1F07698901A8FD2F4B71EDB37D","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-glass-auth.zip","zamorin-glass-auth.zip","FILE","32144","2026-07-31 20:24:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","D55C612B94A1649C3BAE0B2DA285BC164300BD2F2CA6AD47AAAA2FC140E4B953","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-logo-kit.zip","zamorin-logo-kit.zip","FILE","839039","2026-07-31 20:23:58","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","0F2A8DDC262679EABE4C87B203270DA291AE5FE3C2E167AA1E2A522783AA2861","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-premium-responsive-ui-v2.zip","zamorin-premium-responsive-ui-v2.zip","FILE","103863","2026-08-02 12:01:14","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","E2AD5114466DDA42EC35AFAB95F6CF0BD6C2FCE7510C3C8C3FD30C4705FCF625","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\zamorin-premium-responsive-ui-v2_1.zip","zamorin-premium-responsive-ui-v2_1.zip","FILE","103863","2026-08-02 12:01:23","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","E2AD5114466DDA42EC35AFAB95F6CF0BD6C2FCE7510C3C8C3FD30C4705FCF625","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Cafe_Admin_Module.zip","Zamorin_Cafe_ERP_Cafe_Admin_Module.zip","FILE","75844","2026-08-01 06:38:39","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","F22A4D4E5828C4CAE003068A1B527ADC54B8FF16873D12408C2EE1AA4A2337DB","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Department_Orders_Module.zip","Zamorin_Cafe_ERP_Department_Orders_Module.zip","FILE","72018","2026-07-30 10:10:34","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","659EDA1C83F3E25A8A3AE4D470EC4BFF43E40F455B7E6A16BF4E3029AD035796","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Expense_Permission_Fix.zip","Zamorin_Cafe_ERP_Expense_Permission_Fix.zip","FILE","67099","2026-07-31 08:31:05","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","D714C877BBE26467B2453E24E30DB0BA2AD26DF8EDC08E579E9FFC0E17C5ACE7","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Final_Verification_Prompt.md","Zamorin_Cafe_ERP_Final_Verification_Prompt.md","FILE","70618","2026-08-01 13:53:04","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","D8D9E0C96F2D3D4D764184613106DAE7FE6BBF39F10E8730302DA75BBDB7F80F","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Master_Workspace..zip","Zamorin_Cafe_ERP_Master_Workspace..zip","FILE","139714","2026-08-01 13:38:04","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","7F08119220F95DB6D59F522474B385DE95A4619F18C2A6D83908B5ED38498563","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Master_Workspace.zip","Zamorin_Cafe_ERP_Master_Workspace.zip","FILE","130288","2026-08-01 06:57:21","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","CAD5FD7952FEC1BF92E54073817171783E98D0DF3A46E3B0DF47F9F14649C798","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Owner_Portal.zip","Zamorin_Cafe_ERP_Owner_Portal.zip","FILE","69363","2026-08-01 13:30:46","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","8B69D54EE8F2FCCBFE18F4875FCCD09D83D6899212E16AC9975D75EB0C584431","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Revenue_Share.zip","Zamorin_Cafe_ERP_Revenue_Share.zip","FILE","86227","2026-07-30 10:26:03","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","49C887421D013AA92DA518BF366620FA57A0612788999854A9D0F24089A33145","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint","zamorin-app-checkpoint","DIRECTORY","0","2026-08-02 18:42:29","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","N/A_DIRECTORY","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FOLDERS\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint.zip","zamorin-app-checkpoint.zip","FILE","603895","2026-08-02 18:40:19","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","FD53CB8DA57C8D132D16E390961CD8251A898163961084069CC4E1E5EB415F61","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-app-icon-1024.png","zamorin-app-icon-1024.png","FILE","74964","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","6E5B75B41588B803C7C2310791D9241816A13347C4D6B71B8F514946F3B96031","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-app-icon-2048.png","zamorin-app-icon-2048.png","FILE","205509","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","7E38EA9125C978CC05752E5E9B62087CBBF2502C5EBCE4D461283DA7EE6ABAC5","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-app-icon-4096.png","zamorin-app-icon-4096.png","FILE","539713","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","1555FD1F6E23AEBDB46F01C5B9BB204F9308BA10513688BF43E1A15408E92137","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-app-icon-vector.svg","zamorin-app-icon-vector.svg","FILE","784","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","B0F9257F5D6B28B2541E39F0A3B4A179248E1407D60EF5CB96394F6580B52912","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-estate-logo.png","zamorin-estate-logo.png","FILE","49912","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","1336A51825DDE66E48036F346FA4999C236CF668B6E962BF9CDAC97B5D63D14C","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\OneDrive\Desktop\New folder (2)\zamorin-app-checkpoint\src\assets\zamorin-estate-mark.png","zamorin-estate-mark.png","FILE","21213","2026-08-02 06:49:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","21DE01053E432F520D3B26BA4CD491916D1DBFDE6D09021F22A56C62746301A1","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_20_STAGE_FINAL_RELEASE_REPORT.md","ZAMORIN_20_STAGE_FINAL_RELEASE_REPORT.md","FILE","3256","2026-08-13 12:43:57","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","5C337D1A89B659ECFC70BC75C83928392593F6BB62CA24815C7695CFA1349FF8","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_20_STAGE_FINAL_RELEASE_REPORT.md.metadata.json","ZAMORIN_20_STAGE_FINAL_RELEASE_REPORT.md.metadata.json","FILE","198","2026-08-13 12:43:57","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","04510F80991AF5DFF5E664CC988BC0C266BC9285EF01E9380DA1DCB6CA9F1872","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_20_STAGE_RECONCILIATION_REPORT.md","ZAMORIN_20_STAGE_RECONCILIATION_REPORT.md","FILE","23878","2026-08-13 12:39:53","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","EBF049D5E72282FE9753EB3C61A9CC9FC1E6547CC82D0E3D0CCCCF1C138D8E1E","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_20_STAGE_RECONCILIATION_REPORT.md.metadata.json","ZAMORIN_20_STAGE_RECONCILIATION_REPORT.md.metadata.json","FILE","271","2026-08-13 12:39:53","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","5B43C49B0576942B5ADE4585BD3193A0F07F36DBB7A324DB4CAC12A741190B72","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_console_check2_1786853532175.webp","zamorin_console_check2_1786853532175.webp","FILE","1899814","2026-08-16 09:44:10","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","14070AF8B44726D68B6652C70F0EBCCFBF257B9374C08D951130193AD8C26373","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_console_check_1786814068690.webp","zamorin_console_check_1786814068690.webp","FILE","1437190","2026-08-15 22:49:42","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","EF0943EE307909BF701E7389A27BBA31D2AE89AB53CC229142A36C1170F70CC3","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_login_test_1786812243753.webp","zamorin_login_test_1786812243753.webp","FILE","2900812","2026-08-15 22:42:50","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","0991154EBBDBEB3C08D27E3688A7896FE2DF892A1CAE0720AC37E4926AE1721F","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_login_verify_1786854648683.webp","zamorin_login_verify_1786854648683.webp","FILE","4259262","2026-08-16 10:05:49","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","FE2FED998CC8DB475EA4CE2EDE5860E0CECAC6B6037BB9B4BF2DD0F1DB90E6B2","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_mfa_setup_1786815187485.webp","zamorin_mfa_setup_1786815187485.webp","FILE","11418","2026-08-15 23:26:02","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","F1B5CA2AC9DAA972C5CD7E2ADB839720857249805E329CDB59C06E7C3F1A8621","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_STAGE_8_FINAL_HANDOVER.md","ZAMORIN_STAGE_8_FINAL_HANDOVER.md","FILE","5802","2026-08-11 11:31:02","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","7822C8804A1428FE4BDDC133F1866430B9D916161D98C589D40DB0AE699AEFC9","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_STAGE_8_FINAL_HANDOVER.md.metadata.json","ZAMORIN_STAGE_8_FINAL_HANDOVER.md.metadata.json","FILE","271","2026-08-11 11:31:02","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","C1730B1E92C8D2050405556E9342F475BABE705E2AEFBA95CD4A44B770A2C9F0","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\zamorin_sw_cache_clear_1786814347084.webp","zamorin_sw_cache_clear_1786814347084.webp","FILE","2146228","2026-08-15 22:55:40","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","9FA0FFBCCC53BBCB90577B5CF9612285F6E33B816AFAFA40AD1C174F74868F53","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_WORLD_CLASS_EXPANSION_RECONCILIATION.md","ZAMORIN_WORLD_CLASS_EXPANSION_RECONCILIATION.md","FILE","24457","2026-08-13 17:05:12","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","7C7F883978DBB6A1A344E7C65D02693BC146799349DBB35C2B29B92E8C23AB4E","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\.gemini\antigravity-ide\brain\a1a0d7a1-e51d-44eb-9995-0b9a3cb5029d\ZAMORIN_WORLD_CLASS_EXPANSION_RECONCILIATION.md.metadata.json","ZAMORIN_WORLD_CLASS_EXPANSION_RECONCILIATION.md.metadata.json","FILE","334","2026-08-13 17:05:12","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","ADAA2D0DF521B4EA5B353D311AFC5566AE6A82D72CD44E0DD946BC477391BEE6","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FILES\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
"C:\Users\chris\AppData\Roaming\Microsoft\Excel\Zamorin_Estate_Dashboard_Left_Navigation312666204087725697","Zamorin_Estate_Dashboard_Left_Navigation312666204087725697","DIRECTORY","0","2026-07-20 17:35:53","CONFIRMED_PROJECT","CONFIRMED_NAME_MATCH (*zamorin*)","N/A_DIRECTORY","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\FOLDERS\","NO","COPY_AND_VERIFY","Forensically classified based on strong name pattern match"
